"year","journal","count"
1999,"Psychological Assessment",300
2000,"Behavioral Neuroscience",1966
2000,"Developmental Psychology",1220
2000,"Health Psychology",825
2000,"Journal of Applied Psychology",657
2000,"Journal of Consulting and Clinical Psychology",1095
2000,"Journal of Educational Psychology",863
2000,"Journal of Experimental Psychology: General",257
2000,"Journal of Personality and Social Psychology",3647
2000,"Psychological Assessment",177
2001,"Behavioral Neuroscience",3030
2001,"Developmental Psychology",1083
2001,"Emotion",577
2001,"Health Psychology",556
2001,"Journal of Applied Psychology",790
2001,"Journal of Consulting and Clinical Psychology",1481
2001,"Journal of Educational Psychology",999
2001,"Journal of Experimental Psychology: General",1171
2001,"Journal of Personality and Social Psychology",4563
2001,"Psychological Assessment",169
2002,"Behavioral Neuroscience",1925
2002,"Developmental Psychology",736
2002,"Emotion",616
2002,"Health Psychology",999
2002,"Journal of Applied Psychology",1092
2002,"Journal of Consulting and Clinical Psychology",854
2002,"Journal of Educational Psychology",793
2002,"Journal of Experimental Psychology: General",994
2002,"Journal of Personality and Social Psychology",4266
2002,"Psychological Assessment",179
2003,"Behavioral Neuroscience",2088
2003,"Developmental Psychology",1353
2003,"Emotion",427
2003,"Health Psychology",798
2003,"Journal of Applied Psychology",794
2003,"Journal of Consulting and Clinical Psychology",543
2003,"Journal of Educational Psychology",620
2003,"Journal of Experimental Psychology: General",697
2003,"Journal of Personality and Social Psychology",3176
2003,"Psychological Assessment",139
2004,"Behavioral Neuroscience",2134
2004,"Developmental Psychology",1710
2004,"Emotion",228
2004,"Health Psychology",729
2004,"Journal of Applied Psychology",910
2004,"Journal of Consulting and Clinical Psychology",956
2004,"Journal of Educational Psychology",938
2004,"Journal of Personality and Social Psychology",3675
2004,"Psychological Assessment",92
2005,"Behavioral Neuroscience",3324
2005,"Developmental Psychology",868
2005,"Emotion",1072
2005,"Health Psychology",456
2005,"Journal of Applied Psychology",1036
2005,"Journal of Consulting and Clinical Psychology",917
2005,"Journal of Educational Psychology",992
2005,"Journal of Experimental Psychology: General",832
2005,"Journal of Personality and Social Psychology",1859
2005,"Psychological Assessment",391
2006,"Behavioral Neuroscience",1378
2006,"Developmental Psychology",1752
2006,"Emotion",1475
2006,"Health Psychology",1110
2006,"Journal of Applied Psychology",963
2006,"Journal of Consulting and Clinical Psychology",1900
2006,"Journal of Educational Psychology",879
2006,"Journal of Experimental Psychology: General",1022
2006,"Journal of Personality and Social Psychology",3761
2006,"Psychological Assessment",375
2007,"Behavioral Neuroscience",2487
2007,"Developmental Psychology",1934
2007,"Emotion",1723
2007,"Health Psychology",932
2007,"Journal of Applied Psychology",1569
2007,"Journal of Consulting and Clinical Psychology",1260
2007,"Journal of Educational Psychology",1176
2007,"Journal of Experimental Psychology: General",665
2007,"Journal of Personality and Social Psychology",4788
2007,"Psychological Assessment",213
2008,"Behavioral Neuroscience",2999
2008,"Developmental Psychology",1740
2008,"Emotion",1903
2008,"Health Psychology",1069
2008,"Journal of Applied Psychology",1375
2008,"Journal of Consulting and Clinical Psychology",1414
2008,"Journal of Educational Psychology",931
2008,"Journal of Experimental Psychology: General",1322
2008,"Journal of Personality and Social Psychology",6205
2008,"Psychological Assessment",272
2009,"Behavioral Neuroscience",2530
2009,"Developmental Psychology",2307
2009,"Emotion",2051
2009,"Health Psychology",139
2009,"Journal of Applied Psychology",1081
2009,"Journal of Consulting and Clinical Psychology",1132
2009,"Journal of Educational Psychology",1422
2009,"Journal of Experimental Psychology: General",1133
2009,"Journal of Personality and Social Psychology",5364
2009,"Psychological Assessment",450
2010,"Behavioral Neuroscience",2129
2010,"Developmental Psychology",947
2010,"Emotion",2222
2010,"Health Psychology",924
2010,"Journal of Applied Psychology",588
2010,"Journal of Consulting and Clinical Psychology",501
2010,"Journal of Educational Psychology",886
2010,"Journal of Experimental Psychology: General",1308
2010,"Journal of Personality and Social Psychology",3830
2010,"Psychological Assessment",707
2011,"Behavioral Neuroscience",2135
2011,"Developmental Psychology",2062
2011,"Emotion",3787
2011,"Health Psychology",1142
2011,"Journal of Applied Psychology",1306
2011,"Journal of Consulting and Clinical Psychology",1179
2011,"Journal of Educational Psychology",1213
2011,"Journal of Experimental Psychology: General",1504
2011,"Journal of Personality and Social Psychology",4988
2011,"Psychological Assessment",789
2012,"Behavioral Neuroscience",1984
2012,"Developmental Psychology",2229
2012,"Emotion",3085
2012,"Health Psychology",975
2012,"Journal of Applied Psychology",1332
2012,"Journal of Consulting and Clinical Psychology",1098
2012,"Journal of Educational Psychology",1305
2012,"Journal of Experimental Psychology: General",1838
2012,"Journal of Personality and Social Psychology",4597
2012,"Psychological Assessment",620
2013,"Behavioral Neuroscience",2154
2013,"Developmental Psychology",3054
2013,"Emotion",2732
2013,"Health Psychology",1027
2013,"Journal of Applied Psychology",980
2013,"Journal of Consulting and Clinical Psychology",1233
2013,"Journal of Educational Psychology",1620
2013,"Journal of Experimental Psychology: General",1690
2013,"Journal of Personality and Social Psychology",3702
2013,"Psychological Assessment",900
2014,"Behavioral Neuroscience",1409
2014,"Developmental Psychology",4009
2014,"Emotion",2933
2014,"Health Psychology",1619
2014,"Journal of Applied Psychology",551
2014,"Journal of Consulting and Clinical Psychology",1392
2014,"Journal of Educational Psychology",1599
2014,"Journal of Experimental Psychology: General",4015
2014,"Journal of Personality and Social Psychology",3359
2014,"Psychological Assessment",794
2015,"Behavioral Neuroscience",1992
2015,"Developmental Psychology",1810
2015,"Emotion",1999
2015,"Health Psychology",1478
2015,"Journal of Applied Psychology",1112
2015,"Journal of Consulting and Clinical Psychology",1346
2015,"Journal of Educational Psychology",777
2015,"Journal of Experimental Psychology: General",2948
2015,"Journal of Personality and Social Psychology",5410
2015,"Psychological Assessment",1171
2016,"Behavioral Neuroscience",633
2016,"Developmental Psychology",1172
2016,"Emotion",866
2016,"Health Psychology",638
2016,"Journal of Applied Psychology",539
2016,"Journal of Consulting and Clinical Psychology",692
2016,"Journal of Educational Psychology",582
2016,"Journal of Experimental Psychology: General",1124
2016,"Journal of Personality and Social Psychology",1314
2016,"Psychological Assessment",445
NA,NA,12779
