"doi","year","journal"
"10.1037/0002-9432.77.1.1",2007,"American Journal of Orthopsychiatry"
"10.1037/0003-066x.60.8.750",2005,"American Psychologist"
"10.1037/0003-066x.60.8.750",2005,"American Psychologist"
"10.1037/0003-066x.60.8.750",2005,"American Psychologist"
"10.1037/0003-066x.60.8.869a",2005,"American Psychologist"
"10.1037/0003-066x.60.8.869a",2005,"American Psychologist"
"10.1037/0003-066x.60.8.869a",2005,"American Psychologist"
"10.1037/0003-066x.60.8.882",2005,"American Psychologist"
"10.1037/0003-066x.60.8.882",2005,"American Psychologist"
"10.1037/0003-066x.60.8.882",2005,"American Psychologist"
"10.1037/0003-066x.60.8.883",2005,"American Psychologist"
"10.1037/0003-066x.60.8.883",2005,"American Psychologist"
"10.1037/0003-066x.60.8.883",2005,"American Psychologist"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.26.1.1",1994,"Canadian Journal of Behavioural Science/Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0008-400x.28.1.1",1996,"Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement"
"10.1037/0012-1649.21.1.18",1985,"Developmental Psychology"
"10.1037/0012-1649.21.1.18",1985,"Developmental Psychology"
"10.1037/0012-1649.21.1.18",1985,"Developmental Psychology"
"10.1037/0012-1649.21.1.18",1985,"Developmental Psychology"
"10.1037/0012-1649.21.1.3",1985,"Developmental Psychology"
"10.1037/0012-1649.21.1.3",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.21.2.247",1985,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.22.1.3",1986,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.23.1.13",1987,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.14",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.3",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.3",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.3",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.3",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.3",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.8",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.8",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.8",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.8",1988,"Developmental Psychology"
"10.1037/0012-1649.24.1.8",1988,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.25.1.12",1989,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.15",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.1.7",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.576",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.589",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.589",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.589",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.589",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.589",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.612",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.649",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.667",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.674",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.674",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.674",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.674",1990,"Developmental Psychology"
"10.1037/0012-1649.26.4.674",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.698",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.26.5.710",1990,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.32.1.12",1996,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.1.3",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.34.5.1119",1998,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.20",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.29",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
"10.1037/0012-1649.35.1.3",1999,"Developmental Psychology"
